model,accuracy,f1_macro,f1_weighted
LSTM_Toxicity,0.8857539315448658,0.8715473543658201,0.8856551375450115
CNN_Toxicity,0.866327474560592,0.845789556689833,0.8643752009987329
BiLSTM_Toxicity,0.8792784458834413,0.8601823708206686,0.8772469485363378
LSTM_Sentiment,0.7461065106738586,0.7476291102711693,0.7480175979301016
CNN_Sentiment,0.7339512269239535,0.7375317339573405,0.7379049539535767
BiLSTM_Sentiment,0.7477778621894705,0.7492633473172209,0.7496388322963312
